datetime,s1_q50_b1r1,s2_q50_b1r1,s3_q50_b1r1,s1_q10_b1r1,s2_q10_b1r1,s3_q10_b1r1,s1_q90_b1r1,s2_q90_b1r1,s3_q90_b1r1
2023-01-26 06:00,1847.43,1835.27,1810.77,1196.45,1155.53,336.4,2019.57,1929.83,2166.88
2023-01-26 06:15,1819.6,1782.25,1852.25,1197.79,1147.55,324.6,1969.18,1901.27,2166.88
2023-01-26 06:30,1799.78,1743.4,1818.99,1182.56,1122.67,313.06,1957.43,1873.57,2166.88
2023-01-26 06:45,1772.12,1716.62,1810.0,1154.58,1092.42,302.76,1935.06,1853.29,2166.88
2023-01-26 07:00,1751.55,1699.2,1814.96,1140.53,1079.28,306.22,1926.92,1843.2,2166.88
2023-01-26 07:15,1714.44,1695.69,1813.64,1118.83,1077.43,322.92,1896.13,1840.3,2166.88
2023-01-26 07:30,1705.28,1689.81,1853.74,1111.22,1071.68,345.36,1890.39,1834.69,2166.88
2023-01-26 07:45,1708.62,1671.8,1833.16,1110.72,1060.77,341.79,1899.03,1821.25,2166.88
2023-01-26 08:00,1691.57,1640.22,1830.22,1098.2,1038.42,338.1,1882.86,1797.85,2166.88
2023-01-26 08:15,1658.16,1605.05,1811.95,1071.58,1013.12,334.43,1859.34,1764.12,2166.88
2023-01-26 08:30,1639.53,1569.69,1780.97,1053.03,988.99,330.79,1854.76,1744.96,2166.88
2023-01-26 08:45,1613.51,1562.16,1769.87,1032.52,974.57,324.12,1815.94,1741.59,2166.88
2023-01-26 09:00,1587.3,1543.92,1740.53,998.91,944.78,312.52,1819.22,1724.8,2166.88
2023-01-26 09:15,1572.14,1530.53,1748.05,898.71,914.63,298.87,1774.6,1710.23,2166.88
2023-01-26 09:30,1552.85,1521.27,1686.07,893.93,911.91,303.91,1749.14,1702.37,2166.88
2023-01-26 09:45,1531.89,1494.3,1661.11,874.77,889.23,308.11,1739.06,1685.22,2166.88
2023-01-26 10:00,1500.31,1475.6,1748.63,846.97,867.43,309.43,1708.82,1664.61,2166.88
2023-01-26 10:15,1491.66,1496.31,1758.18,844.82,878.45,305.96,1714.87,1710.65,2166.88
2023-01-26 10:30,1478.88,1500.59,1752.64,841.73,880.01,302.51,1672.01,1717.68,2166.88
2023-01-26 10:45,1481.3,1493.0,1727.49,829.77,866.88,295.88,1692.69,1688.53,2166.88
2023-01-26 11:00,1476.98,1494.21,1657.56,828.43,865.65,294.0,1676.44,1702.58,2166.88
2023-01-26 11:15,1498.2,1519.35,1650.73,850.09,889.63,301.36,1680.81,1706.8,2166.88
2023-01-26 11:30,1503.98,1532.55,1613.53,870.64,913.56,308.92,1692.23,1707.93,2166.88
2023-01-26 11:45,1510.09,1550.75,1594.07,882.3,929.01,317.76,1703.41,1723.42,2166.88
2023-01-26 12:00,1523.25,1580.53,1595.11,887.88,947.43,326.77,1725.12,1752.47,2166.88
2023-01-26 12:15,1561.54,1626.93,1579.74,897.9,1017.6,315.47,1719.86,1796.64,2166.88
2023-01-26 12:30,1606.27,1707.88,1590.0,927.36,1077.79,306.39,1757.05,1862.61,2166.88
2023-01-26 12:45,1656.13,1756.04,1598.75,965.5,1117.18,302.58,1792.57,1896.26,2166.88
2023-01-26 13:00,1716.68,1764.73,1600.82,1035.13,1138.01,300.46,1832.35,1895.57,2166.88
2023-01-26 13:15,1799.11,1794.84,1618.58,1109.92,1160.74,288.14,1897.4,1919.13,2166.88
2023-01-26 13:30,1847.58,1806.98,1630.54,1138.9,1172.27,275.58,1937.61,1933.52,2166.88
2023-01-26 13:45,1881.77,1828.52,1610.79,1152.95,1171.37,265.86,1991.0,1955.44,2166.88
2023-01-26 14:00,1900.91,1857.32,1636.22,1169.21,1174.73,256.35,2008.62,1977.14,2166.88
2023-01-26 14:15,1905.26,1902.9,1651.73,1171.87,1216.91,248.17,2011.15,2009.5,2166.88
2023-01-26 14:30,1930.4,1953.8,1658.95,1183.8,1254.65,256.48,2030.93,2047.99,2166.88
2023-01-26 14:45,1965.0,1978.7,1690.54,1206.74,1272.84,267.24,2054.72,2062.02,2166.88
2023-01-26 15:00,1993.63,1991.39,1743.56,1219.82,1277.89,278.29,2074.84,2070.92,2166.88
2023-01-26 15:15,2002.61,2001.2,1721.11,1284.67,1221.78,292.93,2087.68,2119.62,2166.88
2023-01-26 15:30,2018.8,2013.25,1754.04,1297.39,1232.42,304.69,2096.42,2125.1,2166.88
2023-01-26 15:45,2021.46,2024.72,1734.16,1294.93,1234.14,311.07,2097.2,2130.52,2166.88
2023-01-26 16:00,2024.74,2023.61,1683.04,1295.39,1232.97,311.11,2116.71,2132.25,2166.88
2023-01-26 16:15,2031.75,2031.09,1655.79,1301.95,1238.84,312.35,2118.99,2133.29,2166.88
2023-01-26 16:30,2028.82,2026.81,1667.1,1297.25,1233.57,313.4,2117.44,2131.02,2166.88
2023-01-26 16:45,2033.55,2034.26,1655.89,1302.35,1239.56,308.82,2119.64,2134.75,2166.88
2023-01-26 17:00,2034.25,2033.94,1669.86,1301.73,1238.34,307.69,2120.53,2136.08,2166.88
2023-01-26 17:15,2036.8,2033.81,1666.27,1302.92,1238.76,306.74,2121.59,2136.1,2166.88
2023-01-26 17:30,2038.66,2040.79,1686.14,1302.47,1239.71,305.95,2122.3,2139.96,2166.88
2023-01-26 17:45,2036.09,2029.17,1733.82,1296.35,1231.02,312.27,2124.61,2136.65,2166.88
2023-01-26 18:00,2039.59,2033.03,1752.4,1303.23,1237.87,320.43,2124.31,2135.61,2166.88
2023-01-26 18:15,2037.46,2031.92,1723.0,1321.63,1252.87,311.26,2107.39,2114.06,2166.88
2023-01-26 18:30,2045.98,2039.12,1671.17,1331.16,1261.06,302.27,2113.79,2117.9,2166.88
2023-01-26 18:45,2039.02,2038.13,1625.37,1319.42,1251.62,289.05,2109.59,2118.53,2166.88
2023-01-26 19:00,2041.64,2036.93,1614.7,1322.69,1253.98,278.78,2112.25,2119.0,2166.88
2023-01-26 19:15,2047.11,2043.08,1575.81,1329.17,1260.22,268.73,2115.26,2122.0,2166.88
